f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,target
65,43,1,1,3,0.7,0.6,99,95,86,4
66,43,1,11,5,1.2,2,99,95,86,4
67,43,1,1,2,0.3,0.3,99,95,86,4
68,43,1,1,3,0.5,0.6,99,95,86,4
69,43,1,1,3,0.3,0.5,99,95,86,4
70,43,1,2,3,0.7,0.8,99,95,86,4
71,43,1,2,3,1,1,99,95,86,4
72,43,1,2,3,0.7,0.7,99,95,86,4
73,43,1,24,7,1.5,3.2,4,95,86,4
74,43,1,0,2,0.2,0.3,99,95,86,4
75,43,1,1,3,0.2,0.3,99,95,86,4
76,43,2,1,2,0.5,0.6,99,95,86,4
77,43,2,1,2,0.3,0.5,99,95,86,4
78,43,2,1,2,0.4,0.7,99,95,86,4
79,43,2,28,6,1.2,5.2,99,95,86,4
80,43,2,1,2,0.6,0.5,99,95,86,4
81,43,2,34,9,0.6,3,42,14,0,4
82,43,3,1,2,0.7,0.5,99,95,86,4
83,43,3,1,2,0.3,0.4,99,95,86,4
84,43,3,2,3,0.5,1.1,99,95,86,4
85,43,3,1,2,0.3,0.4,99,95,86,4
86,43,3,1,3,0.3,0.5,99,95,86,4
87,43,3,10,6,1.1,1.6,99,95,86,4
88,43,3,1,2,0.3,0.4,99,95,86,4
89,43,3,1,2,0.3,0.4,99,95,86,4
90,43,3,2,4,0.2,0.7,99,95,86,4
91,43,3,8,6,0.9,1.2,99,95,86,4
92,43,3,3,3,1,1,99,95,86,4
93,43,3,5,4,1.3,1.3,99,95,86,4
94,43,3,2,3,0.7,0.8,99,95,86,4
95,43,3,2,3,0.5,1,99,95,86,4
96,43,4,4,3,1.3,1.9,99,95,86,4
97,43,4,47,10,1.4,3.7,53,27,7,4
98,43,5,70,16,1,2.2,64,61,56,4
99,43,6,4,3,1,1.7,99,95,86,4
100,43,6,24,7,1.5,4.5,0,95,86,4
101,43,6,18,6,0.5,1.7,99,95,86,4
102,43,6,23,7,0.5,1.5,6,95,86,4
103,43,6,16,6,1.3,2.4,99,95,86,4
104,43,6,39,10,0.8,6.2,43,28,11,4
105,43,6,5,4,1,2.3,99,95,86,4
106,43,6,7,4,0.6,1.8,99,95,86,4
107,43,6,19,6,1.2,2.5,99,95,86,4
108,43,6,2,3,0.6,0.9,99,95,86,4
109,43,6,2,2,1,0.6,99,95,86,4
110,43,6,2,2,1,1,99,95,86,4
111,43,6,0,2,0.3,0.2,99,95,86,4
112,43,7,7,6,0.7,1.5,99,95,86,4
113,43,7,3,3,1,1.3,99,95,86,4
114,43,7,97,21,1,2.5,92,69,58,4
115,43,7,2,3,0.7,0.9,99,95,86,4
116,43,7,4,4,1,1.8,99,95,86,4
117,43,7,39,12,1,2.1,55,44,48,4
118,43,7,24,7,1.7,3.5,5,95,86,4
119,43,7,7,5,0.6,2.1,99,95,86,4
120,16,1,1,2,0.5,0.7,99,95,86,4
121,16,1,0,1,0.5,9.856804971,99,95,86,4
122,16,1,1,2,0.6,0.2,99,95,86,4
123,16,1,27,8,1,3.5,15,6,86,4
124,16,1,1,2,0.3,0.8,99,95,86,4
125,16,1,0,1,0.5,11.42138182,99,95,86,4
126,16,1,0,1,0.5,1.514532704,99,95,86,4
127,16,2,124,19,2,6.9,19,85,69,4
128,16,3,130,21,0.7,1.8,22,19,80,4
129,16,3,0,2,0.2,0.3,99,95,86,4
130,16,3,1,2,0.3,0.6,99,95,86,4
131,16,3,1,1,0.6,7.122707627,99,95,86,4
132,16,3,2,3,0.2,1,99,95,86,4
133,16,3,14,6,0.5,1.2,99,95,86,4
134,16,3,27,8,0.5,1.6,6,1,86,4
135,16,3,1,3,0.2,0.6,99,95,86,4
136,16,3,1,2,0.2,0.6,99,95,86,4
137,16,3,1,2,0.3,0.6,99,95,86,4
138,16,3,1,2,0.2,0.5,99,95,86,4
139,16,3,1,2,0.2,0.5,99,95,86,4
140,16,3,0,2,0.2,0.2,99,95,86,4
141,16,3,0,1,0.3,8.96845527,99,95,86,4
142,16,4,2,2,1,0.7,99,95,86,4
143,16,4,1,2,0.3,0.7,99,95,86,4
144,16,4,2,3,0.6,1.1,99,95,86,4
145,16,4,28,8,0.8,2.2,30,7,86,4
146,16,4,20,6,0.5,1.6,99,95,86,4
147,16,4,24,7,0.3,1.2,7,95,86,4
148,16,4,1,2,0.4,0.8,99,95,86,4
149,16,4,1,2,0.2,0.5,99,95,86,4
150,16,4,1,2,0.2,0.5,99,95,86,4
151,16,5,41,10,0.5,1.2,64,46,30,4
152,16,5,2,3,0.5,1,99,95,86,4
153,16,5,1,2,0.5,0.3,99,95,86,4
154,16,6,1,2,0.2,0.5,99,95,86,4
155,16,6,1,3,0.2,0.6,99,95,86,4
156,16,6,1,2,0.3,0.7,99,95,86,4
157,16,6,4,3,0.5,1.6,99,95,86,4
158,16,6,19,7,0.6,1.5,0,95,86,4
159,16,6,24,7,0.6,1.8,4,95,86,4
160,16,6,1,2,0.5,1,99,95,86,4
161,16,6,1,2,0.5,0.2,99,95,86,4
162,16,6,3,4,0.3,1,99,95,86,4
163,16,6,1,2,0.2,0.5,99,95,86,4
164,16,6,1,3,0.2,0.5,99,95,86,4
165,16,6,0,1,0.5,3.33874064,99,95,86,4
166,16,6,1,2,0.2,0.5,99,95,86,4
167,16,7,1,2,0.3,0.5,99,95,86,4
168,16,7,3,3,0.5,1,99,95,86,4
169,16,7,18,8,0.5,1.8,10,1,86,4
170,16,7,1,2,0.5,0.8,99,95,86,4
171,16,7,1,3,0.3,0.7,99,95,86,4
172,16,8,19,7,0.6,1.6,8,95,86,4
173,7,1,31,8,1,3.3,33,6,86,4
174,7,1,33,11,0.5,3.2,14,5,3,4
175,7,1,33,8,0.5,2.7,34,9,86,4
176,7,2,42,12,0.8,3,38,36,42,4
177,7,2,8,5,0.5,1.6,99,95,86,4
178,7,3,33,8,1.6,5.8,14,4,86,4
179,7,3,70,12,0.8,2.4,78,68,53,4
180,7,4,24,8,0.5,2.6,29,6,86,4
181,7,4,4,3,0.5,1.5,99,95,86,4
182,7,5,16,8,0.9,2.5,9,3,86,4
183,7,5,1,2,0.3,1,99,95,86,4
184,7,5,5,4,0.2,0.7,99,95,86,4
185,7,6,38,11,1,3,54,48,43,4
186,7,6,2,3,0.3,1,99,95,86,4
187,7,6,32,8,1,3.6,30,6,86,4
188,7,7,45,9,0.5,3.1,59,27,0,4
189,7,7,19,6,0.7,2.8,99,95,86,4
190,7,7,1,2,0.2,0.4,99,95,86,4
191,7,8,3,3,0.3,1,99,95,86,4
192,7,8,4,4,0.3,0.9,99,95,86,4
193,7,8,6,5,0.5,1.6,99,95,86,4
194,7,8,18,7,0.5,1.8,4,95,86,4
195,7,8,29,7,1,4,5,95,86,4
196,7,8,27,7,0.8,2.6,11,95,86,4
197,7,8,21,7,1,2,15,95,86,4
198,7,8,2,3,0.2,0.8,99,95,86,4
199,56,1,2,3,0.4,1,99,95,86,4
200,56,1,4,4,0.5,1.2,99,95,86,4
201,56,1,4,3,0.7,2.1,99,95,86,4
202,56,1,1,3,0.3,0.7,99,95,86,4
203,56,1,2,3,0.2,0.7,99,95,86,4
204,56,1,1,2,0.5,0.8,99,95,86,4
205,56,1,0,2,0.2,0.3,99,95,86,4
206,56,2,20,7,0.5,1.1,2,95,86,4
207,56,3,42,8,0.5,1.3,28,5,86,4
208,56,4,18,7,0.6,1,1,95,86,4
209,56,4,3,4,0.5,0.6,99,95,86,4
210,56,4,9,5,0.8,1.2,99,95,86,4
211,56,4,6,5,0.5,0.8,99,95,86,4
212,56,4,4,4,0.6,0.8,99,95,86,4
213,56,4,10,6,0.3,1,99,95,86,4
214,56,4,3,5,0.3,0.6,99,95,86,4
215,56,4,0,1,0.3,8.316459737,99,95,86,4
216,56,4,0,1,0.3,11.53499019,99,95,86,4
217,56,5,19,7,0.3,0.6,0,95,86,4
218,56,5,51,12,0.5,1.7,51,59,49,4
219,56,6,51,12,1,2.5,55,48,54,4
220,56,7,28,9,0.3,1,42,13,1,4
221,56,7,70,17,0.7,3.2,73,67,51,4
222,56,8,1,2,0.7,0.8,99,95,86,4
223,56,8,19,6,0.3,1,99,95,86,4
224,56,8,23,6,0.3,1.2,99,95,86,4
225,56,8,8,5,0.5,1.5,99,95,86,4
226,56,8,6,4,0.3,1.2,99,95,86,4
227,56,8,2,3,0.2,1.2,99,95,86,4
228,33,1,1,2,0.2,0.4,99,95,86,4
229,33,1,1,2,0.2,0.5,99,95,86,4
230,33,1,39,10,1.2,4,36,16,6,4
231,33,1,25,9,0.4,1.3,37,13,0,4
232,33,1,14,7,0.3,0.7,0,95,86,4
233,33,1,50,14,0.5,1.7,76,42,41,4
234,33,1,1,2,0.2,0.7,99,95,86,4
235,33,1,11,6,0.3,1.1,99,95,86,4
236,33,1,1,3,0.2,0.5,99,95,86,4
237,33,1,1,3,0.2,0.5,99,95,86,4
238,33,1,1,2,0.4,0.5,99,95,86,4
239,33,1,2,3,0.3,0.6,99,95,86,4
240,33,2,2,3,0.3,0.7,99,95,86,4
241,33,2,30,8,0.5,1.5,15,2,86,4
242,33,2,20,7,0.5,2.7,0,95,86,4
243,33,2,3,3,0.5,1.1,99,95,86,4
244,33,3,102,21,0.3,0.8,23,88,73,4
245,33,4,0,2,0.3,0.2,99,95,86,4
246,33,4,34,11,0.5,1,43,34,24,4
247,33,4,19,9,0.2,0.6,31,2,0,4
248,33,4,48,11,0.3,1.1,87,71,51,4
249,33,4,47,11,0.5,1.8,70,43,31,4
250,33,4,1,2,0.2,0.5,99,95,86,4
251,33,4,1,3,0.2,0.6,99,95,86,4
252,33,4,41,13,0.5,0.8,64,37,30,4
253,33,5,1,3,0.2,0.6,99,95,86,4
254,33,5,68,16,0.3,1.2,72,47,51,4
255,33,5,26,9,0.5,1,30,3,0,4
256,33,5,1,3,0.3,0.5,99,95,86,4
257,33,5,1,3,0.2,0.5,99,95,86,4
258,33,6,0,2,0.3,0.2,99,95,86,4
259,33,6,1,3,0.3,0.5,99,95,86,4
260,33,6,1,2,0.2,0.5,99,95,86,4
261,33,6,18,8,0.3,1,5,1,86,4
262,33,6,41,13,0.5,1.5,72,43,28,4
263,33,6,15,8,0.4,1.2,5,2,86,4
264,33,6,2,4,0.3,0.7,99,95,86,4
265,33,6,5,6,0.3,0.7,99,95,86,4
266,33,6,1,3,0.2,0.4,99,95,86,4
267,33,6,2,5,0.2,0.6,99,95,86,4
268,33,6,0,1,0.3,1.940359905,99,95,86,4
269,33,7,0,2,0.2,0.3,99,95,86,4
270,33,7,3,4,0.2,0.5,99,95,86,4
271,33,7,28,8,0.5,1.2,13,4,86,4
272,33,7,2,3,0.3,0.7,99,95,86,4
273,33,7,32,11,0.3,1.1,34,6,3,4
274,33,7,28,9,0.3,1.2,15,5,0,4
275,33,7,0,2,0.2,0.3,99,95,86,4
276,33,7,1,3,0.2,0.3,99,95,86,4
277,33,7,1,3,0.2,0.4,99,95,86,4
278,33,7,1,2,0.5,0.4,99,95,86,4
279,33,8,1,3,0.2,0.5,99,95,86,4
280,33,8,1,2,0.2,0.5,99,95,86,4
281,33,8,2,3,0.3,0.6,99,95,86,4
282,33,8,97,17,0.5,1.8,90,74,66,4
283,33,8,55,12,0.5,3.1,69,52,53,4
284,33,8,1,3,0.2,0.3,99,95,86,4
285,33,8,1,3,0.2,0.5,99,95,86,4
286,33,8,86,16,0.5,4.1,73,68,57,4
287,51,1,0,1,0.3,7.631403687,99,95,86,4
288,51,1,0,1,0.5,7.10957043,99,95,86,4
289,51,1,0,2,0.2,0.3,99,95,86,4
290,51,1,21,7,0.3,1.5,0,95,86,4
291,51,1,0,2,0.2,0.3,99,95,86,4
292,51,1,1,3,0.3,0.5,99,95,86,4
293,51,1,0,1,0.5,3.367256906,99,95,86,4
294,51,1,0,1,0.3,9.718706986,99,95,86,4
295,51,1,3,4,0.4,0.5,99,95,86,4
296,51,2,1,3,0.2,0.5,99,95,86,4
297,51,2,1,3,0.2,0.7,99,95,86,4
298,51,2,1,3,0.2,0.6,99,95,86,4
299,51,2,20,9,0.6,1.5,13,8,3,4
300,51,2,1,3,0.3,0.5,99,95,86,4
301,51,2,5,5,0.4,0.8,99,95,86,4
302,51,2,1,3,0.2,0.4,99,95,86,4
303,51,2,1,3,0.3,0.5,99,95,86,4
304,51,2,1,3,0.2,0.4,99,95,86,4
305,51,2,6,5,0.5,1.2,99,95,86,4
306,51,3,1,4,0.2,0.6,99,95,86,4
307,51,3,9,5,0.3,2.1,99,95,86,4
308,51,3,86,16,0.5,2,91,70,59,4
309,51,3,20,6,0.3,2.4,99,95,86,4
310,51,3,26,8,0.5,1.5,14,2,86,4
311,51,3,1,3,0.2,0.5,99,95,86,4
312,51,3,1,3,0.2,0.3,99,95,86,4
313,51,3,1,3,0.2,0.4,99,95,86,4
314,51,4,1,3,0.2,0.5,99,95,86,4
315,51,4,0,2,0.2,0.3,99,95,86,4
316,51,4,1,3,0.2,0.5,99,95,86,4
317,51,4,1,3,0.2,0.5,99,95,86,4
318,51,4,1,3,0.3,0.6,99,95,86,4
319,51,4,2,4,0.2,0.5,99,95,86,4
320,51,4,14,6,0.4,1.1,99,95,86,4
321,51,4,2,4,0.3,0.6,99,95,86,4
322,51,4,0,2,0.2,0.3,99,95,86,4
323,51,4,0,2,0.2,0.3,99,95,86,4
324,51,4,1,3,0.2,0.3,99,95,86,4
325,51,5,0,2,0.3,0.2,99,95,86,4
326,51,5,1,2,0.3,0.4,99,95,86,4
327,51,5,1,3,0.3,0.4,99,95,86,4
328,51,5,2,3,0.3,0.6,99,95,86,4
329,51,5,1,3,0.3,0.5,99,95,86,4
330,51,5,6,5,0.4,0.9,99,95,86,4
331,51,5,1,4,0.2,0.5,99,95,86,4
332,51,5,3,4,0.4,0.7,99,95,86,4
333,51,5,1,3,0.3,0.6,99,95,86,4
334,51,5,7,5,0.4,1.3,99,95,86,4
335,51,5,0,2,0.2,0.3,99,95,86,4
336,51,5,2,4,0.7,0.8,99,95,86,4
337,51,5,1,2,0.3,0.4,99,95,86,4
338,51,5,1,4,0.2,0.5,99,95,86,4
339,51,5,0,2,0.2,0.3,99,95,86,4
340,51,6,25,9,0.3,0.7,48,16,1,4
341,51,6,41,12,0.5,1.2,46,53,47,4
342,51,6,3,4,0.4,1.1,99,95,86,4
343,51,6,22,8,0.3,1,13,1,86,4
344,51,6,4,4,0.5,1.3,99,95,86,4
345,51,6,2,4,0.3,1,99,95,86,4
346,51,6,1,3,0.2,0.6,99,95,86,4
347,51,6,0,2,0.2,0.1,99,95,86,4
348,51,6,1,3,0.3,0.5,99,95,86,4
349,51,6,0,1,0.5,6.604617184,99,95,86,4
350,51,7,0,2,0.2,0.3,99,95,86,4
351,51,7,1,3,0.3,0.6,99,95,86,4
352,51,7,0,2,0.2,0.1,99,95,86,4
353,51,7,1,3,0.2,0.5,99,95,86,4
354,51,7,1,3,0.2,0.6,99,95,86,4
355,51,7,15,7,0.3,0.8,1,95,86,4
356,51,7,1,3,0.2,0.3,99,95,86,4
357,51,7,0,1,0.5,12.46133665,99,95,86,4
358,51,7,1,4,0.2,0.4,99,95,86,4
359,51,7,1,4,0.2,0.5,99,95,86,4
360,51,7,2,3,0.3,0.7,99,95,86,4
361,51,7,19,6,0.4,1.2,99,95,86,4
362,51,7,37,10,0.5,1.3,62,24,7,4
363,51,7,7,4,0.3,2.3,99,95,86,4
364,51,7,11,5,0.5,3,99,95,86,4
365,51,7,31,10,0.3,1.1,45,32,13,4
366,51,7,0,1,0.5,1.733465379,99,95,86,4
367,51,7,2,3,0.3,0.7,99,95,86,4
368,51,7,5,5,0.3,0.6,99,95,86,4
369,51,7,1,3,0.2,0.5,99,95,86,4
370,51,7,2,4,0.2,0.8,99,95,86,4
371,51,7,1,3,0.2,0.5,99,95,86,4
372,51,7,1,3,0.2,0.3,99,95,86,4
373,26,1,3,4,0.3,0.8,99,95,86,4
374,26,1,44,8,2,8.8,9,1,86,4
375,26,2,20,7,0.6,2,14,95,86,4
376,26,2,1,2,0.6,0.5,99,95,86,4
377,26,2,3,4,0.6,1.4,99,95,86,4
378,26,2,4,4,0.5,1.2,99,95,86,4
379,26,2,4,4,0.3,1.7,99,95,86,4
380,26,2,47,9,1.9,4,40,13,1,4
381,26,2,69,17,0.8,3.6,82,65,54,4
382,26,2,30,8,0.5,1.8,47,7,86,4
383,26,2,6,5,0.3,1.7,99,95,86,4
384,26,2,2,4,0.2,0.8,99,95,86,4
385,26,2,5,6,0.3,1.1,99,95,86,4
386,26,3,1,2,0.6,0.7,99,95,86,4
387,26,3,6,5,0.3,1.3,99,95,86,4
388,26,3,43,9,0.3,2.2,58,12,0,4
389,26,3,23,6,0.3,3.8,99,95,86,4
390,26,3,42,8,0.7,3.7,33,2,86,4
391,26,3,104,20,0.5,2.5,80,73,55,4
392,26,3,9,5,0.3,2.5,99,95,86,4
393,26,4,2,3,0.5,1.2,99,95,86,4
394,26,4,22,6,1.6,6.2,99,95,86,4
395,26,4,29,6,0.5,2.8,99,95,86,4
396,26,4,61,10,0.3,4.2,79,39,17,4
397,26,4,40,9,0.6,3,45,11,0,4
398,26,4,11,5,0.5,2.5,99,95,86,4
399,26,5,70,13,0.5,1.8,96,81,69,4
400,26,6,1,3,0.5,0.7,99,95,86,4
401,26,6,1,3,0.2,0.5,99,95,86,4
402,26,6,0,2,0.2,0.3,99,95,86,4
403,26,6,1,3,0.2,0.5,99,95,86,4
404,26,6,1,3,0.3,0.5,99,95,86,4
405,26,6,1,3,0.2,0.5,99,95,86,4
406,26,6,1,2,0.3,0.5,99,95,86,4
407,26,6,6,6,0.5,1.1,99,95,86,4
408,26,6,1,3,0.5,0.6,99,95,86,4
409,26,6,1,3,0.2,0.5,99,95,86,4
410,26,6,6,5,0.6,1.5,99,95,86,4
411,26,6,0,2,0.3,0.2,99,95,86,4
412,26,6,0,2,0.2,0.3,99,95,86,4
413,26,6,2,3,0.3,0.7,99,95,86,4
414,26,6,3,5,0.3,1.2,99,95,86,4
415,26,6,0,2,0.2,0.3,99,95,86,4
416,31,1,92,17,0.6,2.3,86,75,60,5
417,31,2,24,5,0.6,3.4,99,95,86,5
418,31,3,56,11,1.5,6.3,67,46,48,5
419,31,3,97,16,0.8,5,94,74,55,5
420,31,3,122,19,1.5,5.5,80,64,62,5
421,31,4,12,5,0.4,3.3,99,95,86,5
422,31,4,46,9,1.2,2.3,60,41,14,5
423,31,5,44,11,0.4,1.6,61,45,36,5
424,31,5,35,8,0.5,1.6,48,12,86,5
425,31,5,39,7,0.7,4,1,95,86,5
426,31,6,23,7,0.3,1.4,1,95,86,5
427,31,6,98,16,0.8,2.6,91,82,78,5
428,31,6,1,2,0.5,0.5,99,95,86,5
429,31,6,33,8,0.3,0.8,67,34,86,5
430,31,6,22,7,0.3,1,13,95,86,5
431,31,6,40,8,0.4,1.1,65,33,86,5
432,44,1,24,7,0.3,1.8,2,95,86,5
433,44,1,1,3,0.3,0.3,99,95,86,5
434,44,1,39,8,0.3,2.1,38,11,86,5
435,44,1,19,6,0.3,2.2,99,95,86,5
436,44,1,37,8,0.6,3.2,32,6,86,5
437,44,2,95,17,0.6,3,87,75,72,5
438,44,2,12,4,0.3,1.2,99,95,86,5
439,44,2,34,7,0.2,1.8,13,95,86,5
440,44,2,13,5,0.3,2,99,95,86,5
441,44,2,39,8,0.3,2.6,28,5,86,5
442,44,2,20,6,0.6,1.6,99,95,86,5
443,44,2,40,9,0.5,3.1,35,13,1,5
444,44,3,123,20,1.4,4,91,82,70,5
445,44,3,2,3,0.3,0.6,99,95,86,5
446,44,3,5,4,0.3,0.8,99,95,86,5
447,44,3,15,6,0.3,1.5,99,95,86,5
448,44,3,28,8,0.3,1,14,3,86,5
449,44,3,23,7,0.4,1.3,0,95,86,5
450,44,3,6,5,0.2,0.6,99,95,86,5
451,44,3,2,4,0.2,0.6,99,95,86,5
452,44,3,53,10,0.4,2.2,73,47,29,5
453,44,3,46,9,0.4,2.1,58,37,9,5
454,44,4,1,2,0.5,0.5,99,95,86,5
455,44,4,1,3,0.3,0.3,99,95,86,5
456,44,4,1,3,0.3,0.8,99,95,86,5
457,44,4,3,4,0.2,0.9,99,95,86,5
458,44,4,9,4,0.4,1.6,99,95,86,5
459,44,4,34,8,0.2,1.5,37,15,86,5
460,44,4,36,8,0.3,2,27,5,86,5
461,44,4,67,15,0.6,1.9,53,55,56,5
462,44,5,65,11,1.1,4.8,70,61,58,5
463,44,5,146,25,0.6,3.5,94,94,82,5
464,44,6,5,4,0.2,1,99,95,86,5
465,44,6,1,3,0.3,0.3,99,95,86,5
466,44,6,3,4,0.3,1.2,99,95,86,5
467,44,6,2,3,0.3,0.7,99,95,86,5
468,44,6,1,3,0.3,0.3,99,95,86,5
469,44,6,1,2,0.5,0.5,99,95,86,5
470,44,6,46,11,0.3,2,57,39,34,5
471,6,1,1,2,0.5,0.5,99,95,86,5
472,6,1,6,4,0.9,2.1,99,95,86,5
473,6,1,16,4,0.6,3.1,99,95,86,5
474,6,2,3,3,0.8,1.5,99,95,86,5
475,6,2,3,3,0.6,1,99,95,86,5
476,6,2,2,3,0.6,0.8,99,95,86,5
477,6,2,1,3,0.3,0.9,99,95,86,5
478,6,2,3,3,0.6,1.8,99,95,86,5
479,6,2,2,3,0.4,1,99,95,86,5
480,6,2,5,4,0.6,1.2,99,95,86,5
481,6,2,2,3,0.5,0.8,99,95,86,5
482,6,3,4,3,0.6,2.1,99,95,86,5
483,6,3,17,6,0.5,2,99,95,86,5
484,6,3,5,5,0.4,0.7,99,95,86,5
485,6,3,16,6,0.8,2.5,99,95,86,5
486,6,3,35,10,0.8,2.6,41,24,11,5
487,6,4,5,4,0.4,1.8,99,95,86,5
488,6,4,1,2,0.9,0.6,99,95,86,5
489,6,4,5,5,0.5,0.9,99,95,86,5
490,6,4,2,3,0.3,1,99,95,86,5
491,6,4,4,3,1,2,99,95,86,5
492,6,4,10,4,0.6,3.2,99,95,86,5
493,6,4,18,7,0.4,1.1,9,95,86,5
494,6,5,9,5,0.3,1.4,99,95,86,5
495,6,5,2,3,0.3,1.1,99,95,86,5
496,6,5,10,5,0.3,1.7,99,95,86,5
497,6,5,2,3,0.5,1.1,99,95,86,5
498,6,5,26,7,0.6,3,5,95,86,5
499,6,6,3,3,0.5,1.3,99,95,86,5
500,6,6,2,3,0.4,0.8,99,95,86,5
501,6,6,22,6,1,4.3,99,95,86,5
502,6,6,13,5,0.8,2.2,99,95,86,5
503,6,6,9,4,1,2.8,99,95,86,5
504,6,6,13,5,0.6,2,99,95,86,5
505,6,7,26,9,0.8,2.3,9,5,0,5
506,29,1,7,5,0.2,0.6,99,95,86,5
507,29,1,24,8,0.2,0.7,32,7,86,5
508,29,2,125,18,0.6,1.5,25,22,80,5
509,29,3,114,21,0.5,1,24,93,72,5
510,29,4,25,8,0.3,1,13,1,86,5
511,29,4,2,5,0.3,0.6,99,95,86,5
512,29,4,16,7,0.2,0.6,5,95,86,5
513,29,4,11,6,0.3,1,99,95,86,5
514,29,5,26,7,0.6,1.2,10,95,86,5
515,29,6,10,6,0.2,0.7,99,95,86,5
516,29,6,114,20,0.5,1.3,97,84,63,5
517,29,7,8,5,0.7,1.5,99,95,86,5
518,29,7,6,5,0.2,0.7,99,95,86,5
519,29,7,1,3,0.2,0.6,99,95,86,5
520,29,7,4,4,0.6,0.9,99,95,86,5
521,29,7,88,18,0.6,2.2,73,60,46,5
522,46,1,62,12,0.6,3.3,81,70,55,5
523,46,2,5,4,0.5,2.6,99,95,86,5
524,46,2,3,3,0.4,1.4,99,95,86,5
525,46,2,2,4,0.2,1,99,95,86,5
526,46,2,8,5,0.2,1.6,99,95,86,5
527,46,2,26,6,1.1,5.1,99,95,86,5
528,46,2,14,5,0.8,2.5,99,95,86,5
529,46,2,79,16,0.6,2.8,82,66,49,5
530,46,3,29,7,0.6,3.3,0,95,86,5
531,46,4,91,17,0.5,2.1,89,67,57,5
532,46,4,39,10,0.6,1.6,49,40,24,5
533,46,5,20,7,0.3,1.4,0,95,86,5
534,46,6,42,9,1.4,4.6,54,29,8,5
535,46,6,37,9,0.6,2.5,48,27,4,5
536,46,6,20,7,0.4,1.1,12,95,86,5
537,46,7,195,24,0.6,3.9,26,23,23,5
538,5,1,1,3,0.3,0.3,99,95,86,5
539,5,1,2,3,0.4,0.8,99,95,86,5
540,5,1,9,5,0.4,1.1,99,95,86,5
541,5,1,12,6,0.6,1.4,99,95,86,5
542,5,1,1,3,0.3,0.6,99,95,86,5
